"","contrast","estimate","SE","df","t.ratio","p.value"
"1","pre H - post H",-1.33754716821482,0.0804854286498001,1848.34356337521,-16.6185008970334,1.73033809502954e-11
"2","pre H - pre L",0.45661898245846,0.0522604613842179,860.028379648152,8.73736990382474,7.87592213669086e-13
"3","pre H - post L",-0.487971266464862,0.0669570187728952,1476.78122472771,-7.28782845186047,7.2961636732316e-12
"4","pre H - pre M",0.343727994304462,0.0563355196564531,962.734671092023,6.10144357237839,2.27796592700003e-08
"5","pre H - post M",-0.823616665030206,0.0723987205655331,1577.34238761367,-11.3761218236542,0
"6","post H - pre L",1.79416615067328,0.073594363942049,1714.14999155631,24.3791243591163,3.94506649570303e-12
"7","post H - post L",0.849575901749957,0.0787924795446399,1684.26155233768,10.7824491202695,2.57893706390178e-12
"8","post H - pre M",1.68127516251928,0.0764128059852161,1743.30489726866,22.0025313930307,6.26854124163856e-12
"9","post H - post M",0.513930503184612,0.0838738028707596,1771.37052519302,6.1274257943988,1.64558994208974e-08
"10","pre L - post L",-0.944590248923322,0.0572905743293659,1850.88371320051,-16.4877077945289,1.78648207338483e-11
"11","pre L - pre M",-0.112890988153998,0.0445891107491189,1201.33352216552,-2.53180622482427,0.115735404382249
"12","pre L - post M",-1.28023564748867,0.0639946464729474,1831.06570621604,-20.0053554171889,1.49398271531709e-11
"13","post L - pre M",0.831699260769324,0.0612913177566629,1716.12494448018,13.5696097132601,4.51427784042835e-12
"14","post L - post M",-0.335645398565344,0.0690567775466881,1786.30028174418,-4.86042660097223,1.88162387870783e-05
"15","pre M - post M",-1.16734465933467,0.0674274246412588,1850.50911282816,-17.3126093061601,1.88387083710495e-11
